馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ガットネロ,牝6,小沢,栗東・東田,差し,35.9,11,12,,35.1,498(+6),函館,48,中6週,Y,,3,アメリカンペイトリオット,ブラックタイド,,
2,1,セイプリーズ,牝4,古川吉,栗東・宮,先行,15.6,7,8,,34.1,422(+2),函館,41,中5週,Y,,3,ダイワメジャー,More Than Ready,,
3,2,ムチャスグラシアス,牝5,佐々木,美浦・菊川,先行,54.7,14,8,,34.7,440(0),函館,28,中3週,Y,,3,カリフォルニアクローム,シンボリクリスエス,,
4,2,ブルボンクイーン,牝5,松本,栗東・角田,,30.9,10,13,,35.8,488(+2),小倉,35,中4週,Y,,3,キズナ,ボストンハーバー,,B
5,3,スムースベルベット,牝6,,美浦・手塚徳,差し,14.9,6,8,,34.3,532(+26),函館,56,中7週,Y,,3,ディスクリートキャット,サウスヴィグラス,,
6,3,ブライティアダイヤ,牝5,横山琉,美浦・稲垣,差し,118.6,15,11,,34.0,472(+4),福島,126,中17週,Y,,3,サトノアラジン,アドマイヤベガ,,
7,4,モズトキキ,牝5,菊沢,栗東・平田,差し,18.4,9,9,,33.9,556(+18),東京,84,中11週,Y,,3,グランプリボス,Congrats,,
8,4,グランテレーズ,牝5,舟山,栗東・渡辺,先行,11.3,4,1,3歳以上1勝クラス,34.6,470(+10),札幌,21,中2週,Y,,3,シュヴァルグラン,エリシオ,,
9,5,ベニシア,牝5,原田和,美浦・粕谷,追込,206.6,16,7,3歳以上2勝クラス,36.1,458(+4),札幌,13,中1週,Y,,2,ヘニーヒューズ,ゴールドアリュール,,B
10,5,メイショウミリオレ,牝5,池添,栗東・藤岡健,追込,17.0,8,9,,34.1,486(0),小倉,49,中6週,Y,,3,ルーラーシップ,ディープインパクト,,
11,6,コックオーヴァン,牝3,長浜,美浦・伊藤伸,先行,11.5,5,1,3歳以上1勝クラス,34.9,464(+8),福島,28,中3週,Y,,3,ウインブライト,ヘクタープロテクター,,
12,6,ハリウッドメモリー,牝4,横山和,栗東・長谷川,差し,1.9,1,4,,34.2,470(+4),函館,41,中5週,Y,,3,ロードカナロア,Hard Spun,,
13,7,ベビーズブレス,牝4,荻野琢,栗東・千田,先行,41.2,12,10,,35.1,428(-2),札幌,13,中1週,Y,,3,アドマイヤマーズ,Galileo,,
14,7,ストレイトアスク,牝5,北村友,栗東・藤原,先行,9.3,2,1,3歳以上1勝クラス,34.6,430(-8),函館,42,中5週,Y,,3,ロードカナロア,フジキセキ,,
15,8,ミニョンマルーン,牝4,石川倭,美浦・伊藤圭,逃げ,11.2,3,12,,34.7,480(-8),函館,41,中5週,Y,,3,ミスターメロディ,ファスリエフ,,
16,8,エルサトアナ,牝4,菱田,栗東・本田,先行,54.6,13,12,,36.1,444(+6),函館,35,中4週,Y,,3,カリフォルニアクローム,キングカメハメハ,,
