券種,組み合わせ,配当,人気
単勝,6,510,3
複勝,6,170,2
複勝,5,180,3
複勝,11,190,4
枠連,5-6,650,2
馬連,5-6,1250,3
ワイド,5-6,520,5
ワイド,6-11,600,9
ワイド,5-11,770,15
馬単,6-5,2670,10
3連複,5-6-11,2650,10
3連単,6-5-11,19310,88
