コーナー,通過順
1コーナー,
2コーナー,"(*7,6)(5,8,9)3(1,4)-2"
3コーナー,"(*7,6,9)5(3,8,4)(1,2)"
4コーナー,"(*7,6,9)(5,4)(3,2)1-8"
