券種,組み合わせ,配当,人気
単勝,11,670,2
複勝,11,320,4
複勝,10,990,12
複勝,1,880,11
枠連,5-6,2300,11
馬連,10-11,11930,43
ワイド,10-11,3940,49
ワイド,1-11,4630,54
ワイド,1-10,11310,101
馬単,11-10,16090,64
3連複,1-10-11,139320,370
3連単,11-10-1,442640,428
