券種,組み合わせ,配当,人気
単勝,8,400,3
複勝,8,150,2
複勝,10,130,1
複勝,12,340,6
枠連,6-7,510,2
馬連,8-10,580,2
ワイド,8-10,270,2
ワイド,8-12,700,8
ワイド,10-12,700,7
馬単,8-10,1270,4
3連複,8-10-12,2080,5
3連単,8-10-12,9590,21
