券種,組み合わせ,配当,人気
単勝,13,1050,5
複勝,13,290,5
複勝,7,180,3
複勝,5,250,4
枠連,5-8,1890,10
馬連,7-13,2880,13
ワイド,7-13,1130,15
ワイド,5-13,1460,19
ワイド,5-7,780,10
馬単,13-7,5960,27
3連複,5-7-13,7250,31
3連単,13-7-5,38080,140
