馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,マクミランテソーロ,牡5,木幡巧,美浦・田中剛,先行,13.6,4,4,,36.8,,新潟,29,中3週,Y,,3,レッドファルクス,Cairo Prince,,
2,1,ベルゼビュート,牡3,菊沢,美浦・高木,差し,13.9,5,1,3歳以上1勝クラス,35.9,,新潟,28,中3週,Y,,3,オーヴァルエース,フジキセキ,,
3,2,ハッピーウィズユー,牝4,丹内,美浦・小笠,先行,20.9,9,7,3歳以上2勝クラス,35.9,,新潟,42,中5週,Y,,3,キズナ,Street Cry,,
4,2,ヤマメキング,牡4,丸山,美浦・田島,差し,41.5,14,10,,35.7,,東京,119,中16週,Y,,3,ドレフォン,マンハッタンカフェ,,
5,3,スターランウェイ,牝4,横山琉,美浦・斎藤誠,先行,17.9,6,1,3歳以上1勝クラス,37.0,,福島,84,中11週,Y,,3,ダノンレジェンド,Giant's Causeway,,B
6,3,タイセイルヴァン,牡4,,美浦・新開,差し,34.5,12,7,4歳以上2勝クラス,35.6,,京都,113,中15週,Y,,3,ルヴァンスレーヴ,エンパイアメーカー,,
7,4,メモリーグラス,牡6,武藤,美浦・松永康,差し,32.1,11,7,4歳以上2勝クラス,36.2,,阪神,162,中22週,Y,,3,イスラボニータ,ナカヤマフェスタ,,B
8,4,タカスタカスタカス,牡3,戸崎圭,栗東・藤原,先行,1.9,1,5,,35.2,,東京,91,中12週,Y,,3,Mor Spirit,Liam's Map,,B
9,5,ジャックナダル,牡3,武豊,美浦・伊坂,先行,9.9,3,1,3歳以上1勝クラス,36.6,,新潟,21,中2週,Y,,3,ナダル,New Approach,,
10,5,モリノセピア,牡5,小林美,美浦・鈴木伸,,19.3,8,7,,37.3,,新潟,56,中7週,Y,,3,エスポワールシチー,アルデバランII,,
11,6,フィールマイプラン,牡3,横山武,美浦・岩戸,先行,35.9,13,1,3歳以上1勝クラス,36.9,,新潟,50,中6週,Y,,3,サトノクラウン,ブラックタイド,,
12,6,ホウオウプレミア,牡7,岩田康,美浦・奥村武,差し,18.0,7,5,,35.6,,中山,14,中1週,Y,,3,ロードカナロア,クロフネ,,B
13,7,フィーチャリング,セ4,,美浦・和田郎,差し,31.4,10,10,3歳以上2勝クラス,36.2,,新潟,42,中5週,Y,,3,ヘニーヒューズ,ステイゴールド,,
14,7,メッエフアパラ,牡5,大野,美浦・辻,先行,63.7,15,14,,33.5,,新潟,42,中5週,Y,,3,エスポワールシチー,キングヘイロー,,
15,8,ブルーマッキンジー,牡3,西村淳,栗東・杉山佳,,8.8,2,1,3歳以上1勝クラス,35.0,,小倉,78,中10週,Y,,3,McKinzie,Magna Graduate,,
16,8,リリージェーン,牝6,菅原隆,美浦・小手川,差し,79.4,16,15,,37.4,,東京,105,中14週,Y,,3,ヘニーヒューズ,ネオユニヴァース,,B
