券種,組み合わせ,配当,人気
単勝,6,340,2
複勝,6,170,2
複勝,17,880,11
複勝,1,530,7
枠連,3-8,1390,5
馬連,6-17,7820,24
ワイド,6-17,2910,28
ワイド,1-6,1470,13
ワイド,1-17,8780,69
馬単,6-17,11380,35
3連複,1-6-17,49100,135
3連単,6-17-1,208300,555
