コーナー,通過順
1コーナー,
2コーナー,"9(4,12)(5,14)(1,15)6(2,11,16)(3,7)10(8,13)"
3コーナー,"9,4(1,12)(5,14)6(2,15)(11,16)(3,7,10)13,8"
4コーナー,"(*9,4,12,14)(1,5)6(2,15)11(3,16,10)7,13-8"
