券種,組み合わせ,配当,人気
単勝,7,680,3
複勝,7,170,4
複勝,8,110,1
複勝,6,170,5
馬連,7-8,470,2
ワイド,7-8,250,4
ワイド,6-7,640,11
ワイド,6-8,230,2
馬単,7-8,1440,6
3連複,6-7-8,790,3
3連単,7-8-6,5420,20
