登録番号,馬名,性齢,斤量,騎手,厩舎,脚質,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
9,アルトゥーム,牡5,58.0,吉村,栗東・藤岡健,差し,8,,36.2,,小倉,84,中11週,Y,,3,モーリス,ディープインパクト,,
12,インパクトシー,牡4,58.0,横山琉,美浦・大竹,先行,7,,34.4,,函館,77,中10週,Y,,3,フィエールマン,ダノンシャンティ,,
13,ウォータークラーク,牡4,58.0,,栗東・石橋,,1,,33.9,,京都,140,中19週,Y,,3,ウォータービルド,キングヘイロー,,
1,エスコバル,セ8,58.0,吉田豊,美浦・高橋文,,9,,33.5,,新潟,48,中6週,Y,,3,モーリス,キングカメハメハ,,
6,エフォートレス,牡5,58.0,横山和,美浦・嘉藤,差し,3,,34.9,,札幌,27,中3週,Y,,3,エピファネイア,ダイワメジャー,,
2,グラニット,牡6,58.0,江田照,美浦・大和田,先行,15,,35.1,,新潟,35,中4週,Y,,3,ダノンバラード,フサイチコンコルド,,
5,コスモサガルマータ,セ6,58.0,三浦,美浦・嘉藤,追込,16,,34.5,,新潟,35,中4週,Y,,3,ヴィクトワールピサ,More Than Ready,,
15,サウンドムーブ,牡3,56.0,川田,栗東・斉藤崇,差し,3,,32.9,,阪神,21,中2週,Y,,3,リアルスティール,スクリーンヒーロー,,
4,セブンマジシャン,牡6,58.0,西村淳,栗東・高野,差し,14,,34.7,,阪神,104,中14週,Y,,3,ジャスタウェイ,メイショウサムソン,,
8,ソルトブリーズ,牡5,58.0,横山琉,美浦・田中剛,,4,,33.6,,東京,118,中16週,Y,,3,アドマイヤムーン,Street Cry,,
11,テンミラクルスター,牝4,56.0,石川,美浦・辻,差し,11,,33.8,,新潟,48,中6週,Y,,3,エピファネイア,ディープブリランテ,,
3,ナヴォーナ,牡6,58.0,,栗東・矢作,差し,16,,39.4,,小倉,69,中9週,Y,,3,ロードカナロア,Soldier Hollow,,
10,フォルラニーニ,牡5,58.0,坂井,美浦・手塚久,,15,,36.4,,福島,70,中9週,Y,,3,エピファネイア,ステイゴールド,,
14,マイネルフルムーン,牡4,58.0,津村,栗東・吉田,,7,,33.1,,東京,118,中16週,Y,,3,ウインブライト,アドマイヤムーン,,
7,マテンロウブラボー,牡5,58.0,西村淳,栗東・野中,差し,7,,33.4,,東京,97,中13週,Y,,3,モーリス,マンハッタンカフェ,,
16,リゾートアイランド,牡3,56.0,横山武,美浦・上原佑,先行,4,,35.5,,札幌,27,中3週,Y,,3,イスラボニータ,Frankel,,
