馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,チェルノボーグ,セ7,西塚,栗東・藤原,先行,13.4,7,13,,34.0,,京都,119,中16週,Y,,3,ディープインパクト,Ghostzapper,,
2,2,テラメリタ,牝5,ルメー,栗東・須貝,先行,3.5,1,2,,33.0,,中京,43,中5週,Y,,3,ブリックスアンドモルタル,ヴィクトワールピサ,,
3,2,モアリジット,牡5,古川奈,栗東・西村,,10.8,3,13,,39.0,,小倉,71,中9週,Y,,3,ロードカナロア,Scat Daddy,,B
4,3,エポックヴィーナス,牝5,田山,栗東・新谷,差し,11.7,5,7,,32.5,,中京,43,中5週,Y,,3,ヴィクトワールピサ,ブライアンズタイム,,
5,3,モンテシート,牡4,北村友,栗東・牧田,先行,19.5,11,7,,34.1,,新潟,50,中6週,Y,,3,ミッキーアイル,Dutch Art,,
6,4,ハギノアルデバラン,牡6,浜中,栗東・佐藤悠,差し,10.9,4,5,,33.1,,新潟,35,中4週,Y,,3,ジャスタウェイ,アドマイヤムーン,,
7,4,ドゥカート,牡4,菱田,美浦・宮田,差し,21.2,12,12,,35.8,,函館,64,中8週,Y,,3,レイデオロ,ステイゴールド,,B
8,5,インヴォーグ,牝4,,栗東・福永,先行,5.0,2,6,,35.0,,函館,64,中8週,Y,,3,ロードカナロア,マンハッタンカフェ,,
9,5,サンタンカ,牡4,吉村,栗東・千田,差し,16.1,10,11,,33.5,,阪神,91,中12週,Y,,3,モーリス,コマンズ,,
10,6,リチャードバローズ,牡5,Ｍデム,栗東・上村,差し,28.2,13,9,,35.9,,小倉,57,中7週,Y,,3,エピファネイア,Kingmambo,,
11,6,ヨウシタンレイ,牝6,坂井,栗東・藤野,差し,15.6,8,5,,33.7,,京都,105,中14週,Y,,3,サトノアラジン,ファンタスティックライト,,
12,7,スリリングチェイス,セ6,小沢,栗東・渡辺,先行,78.5,15,14,,39.0,,小倉,71,中9週,Y,,3,サトノアラジン,Ghostzapper,,B
13,7,レッドアトレーヴ,牡5,戸崎圭,美浦・手塚久,先行,15.8,9,15,,32.5,,東京,140,中19週,Y,,3,ロードカナロア,ディープインパクト,,
14,8,サクセスアイ,牝6,藤懸,栗東・北出,差し,56.2,14,6,,35.8,,札幌,14,中1週,Y,,3,ミッキーアイル,ジャングルポケット,,
15,8,コスモアンソロジー,牡4,佐々木,美浦・嘉藤,先行,13.0,6,4,,35.6,,福島,57,中7週,Y,,3,ダノンバラード,Shamardal,,
