コーナー,通過順
1コーナー,"(*1,2)3(4,6,7)13,5-14,8,11,10,12-9"
2コーナー,"(*1,2)3,4(6,7)(5,13)-(11,14)8-10,12,9"
3コーナー,"(*1,2)3,4(6,7)(5,13)11,14-(8,12)(10,9)"
4コーナー,"(1,*2)(4,3)(5,6,13)-(7,11)-14-(12,9)(8,10)"
