馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ドラゴンブースト,牡4,丹内,栗東・藤野,,20.4,9,1,,33.9,474(-6),阪神,49,中6週,Y,,3,スクリーンヒーロー,エンパイアメーカー,,
2,1,オフトレイル,牡5,岩田望,栗東・吉村,差し,4.2,2,10,,33.8,466(0),東京,75,中10週,Y,,3,Farhh,Kingmambo,,
3,2,ファインライン,牡5,鮫島駿,栗東・松永幹,差し,143.9,15,1,,33.8,486(-8),阪神,49,中6週,Y,,3,ファインニードル,ディープインパクト,,
4,2,クルゼイロドスル,牡6,太宰,栗東・高橋忠,差し,70.6,12,7,,32.6,502(-2),京都,92,中12週,Y,,3,ファインニードル,アルカセット,,
5,3,ショウナンアデイブ,牡7,池添,栗東・高野,差し,84.5,13,3,,34.6,530(+12),小倉,63,中8週,Y,,3,ディープインパクト,Mineshaft,,B
6,3,ブエナオンダ,牡5,田口,栗東・須貝,差し,38.3,10,6,,34.9,458(-2),中山,22,中2週,Y,,3,リオンディーズ,ディープインパクト,,
7,4,ベラジオボンド,牡5,北村友,栗東・上村,先行,8.3,5,1,,33.9,498(+4),阪神,28,中3週,Y,,3,ロードカナロア,Dubai Destination,,B
8,4,シャンパンカラー,牡6,岩田康,美浦・田中剛,差し,38.9,11,10,,33.9,516(0),中山,56,中7週,Y,,3,ドゥラメンテ,Reckless Abandon,,
9,5,アドマイヤズーム,牡4,武豊,栗東・友道,先行,4.1,1,6,,33.7,482(+8),京都,195,中27週,Y,Y,3,モーリス,ハーツクライ,,
10,5,ウォーターリヒト,牡5,高杉,栗東・石橋,差し,5.4,3,3,,33.2,478(+4),東京,75,中10週,Y,,3,ドレフォン,ヴィクトワールピサ,,
11,6,キョウエイブリッサ,牡6,田山,美浦・武市,差し,287.9,17,5,,34.3,486(+6),阪神,28,中3週,Y,,3,グレーターロンドン,ルーラーシップ,,
12,6,ファーヴェント,牡5,坂井,栗東・藤原,先行,17.9,7,3,,34.8,514(0),中山,22,中2週,Y,,3,ハーツクライ,Street Cry,,
13,7,アサヒ,牡7,松本,美浦・金成,追込,294.5,18,9,,34.2,512(+8),阪神,28,中3週,Y,,3,カレンブラックヒル,デインヒル,,B
14,7,ロングラン,セ8,団野,美浦・和田勇,差し,153.6,16,14,,37.4,474(-8),東京,63,中8週,Y,,3,ヴィクトワールピサ,Kendargent,,
15,7,マテンロウスカイ,セ7,横山典,栗東・松永幹,先行,140.5,14,12,,38.2,488(+4),中山,28,中3週,Y,,3,モーリス,スペシャルウィーク,,
16,8,シックスペンス,牡5,戸崎圭,美浦・田中博,先行,7.8,4,9,,37.2,500(-14),東京,63,中8週,Y,,2,キズナ,Twirling Candy,,
17,8,エルトンバローズ,牡6,西村淳,栗東・杉山晴,差し,12.1,6,13,,34.2,522(+4),東京,75,中10週,Y,,3,ディープブリランテ,ブライアンズタイム,,B
18,8,ランスオブカオス,牡4,吉村,栗東・奥村豊,差し,18.4,8,11,,34.9,494(-6),中山,42,中5週,Y,,3,シルバーステート,ローエングリン,,
