券種,組み合わせ,配当,人気
単勝,8,290,1
複勝,8,140,2
複勝,6,140,3
複勝,12,130,1
枠連,5-6,690,3
馬連,6-8,1050,4
ワイド,6-8,400,5
ワイド,8-12,290,2
ワイド,6-12,290,1
馬単,8-6,1530,5
3連複,6-8-12,1090,2
3連単,8-6-12,5250,7
