馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,キイチムーブメント,セ3,56.0,,美浦・青木,差し,46.7,11,1,ナティビッ,39.5,468(-6),船橋,48,中6週,,,1,エスポワールシチー,ディープスカイ,,
2,1,ロードストラダーレ,牡3,56.0,丸田,美浦・本間,先行,32.4,10,17,3歳以上1勝クラス,35.8,496(+10),新潟,52,中6週,Y,,3,ロードカナロア,Tiznow,,
3,2,フュルスティン,牝3,51.0,上里,美浦・加藤士,先行,6.6,2,9,3歳以上1勝クラス,37.8,476(-6),新潟,51,中6週,Y,,3,ダノンキングリー,クロフネ,,B
4,2,デルマエアロール,牝4,56.0,ミシェ,美浦・大和田,先行,70.9,14,11,3歳以上1勝クラス,38.5,462(0),新潟,52,中6週,Y,,3,マインドユアビスケッツ,オルフェーヴル,,
5,3,アレーティア,牝4,53.0,佐藤,美浦・上原博,先行,24.3,8,12,3歳以上1勝クラス,40.6,512(+10),新潟,45,中5週,Y,,3,ブリックスアンドモルタル,ネオユニヴァース,,
6,3,カシノリアーナ,牝3,51.0,遠藤,美浦・天間,差し,174.4,15,18,3歳以上1勝クラス,36.0,428(0),新潟,24,中2週,Y,,3,サトノクラウン,ダイワメジャー,,
7,4,アルマグラース,牝4,56.0,武藤,美浦・水野,差し,219.4,16,12,3歳以上1勝クラス,32.7,454(-2),新潟,30,中3週,Y,,3,スワーヴリチャード,バンブーエール,,
8,4,ホウオウガイア,牝4,56.0,丹内,美浦・大竹,追込,25.0,9,14,3歳以上1勝クラス,35.4,444(-10),新潟,58,中7週,Y,,3,シルバーステート,フレンチデピュティ,,
9,5,アルシャンティ,牝4,56.0,木幡初,美浦・室井,先行,54.9,13,12,3歳以上1勝クラス,36.8,438(+2),新潟,24,中2週,Y,,3,バゴ,ディープインパクト,,
10,5,カサブランカキッド,牡6,58.0,,美浦・和田勇,差し,47.8,12,12,3歳以上1勝クラス,36.1,514(-10),新潟,30,中3週,Y,,2,ドレフォン,ダイワメジャー,,
11,6,エコロバロン,牡3,56.0,菊沢,美浦・菊沢,差し,9.6,4,11,3歳以上1勝クラス,37.5,504(+2),新潟,44,中5週,Y,,3,フォーウィールドライブ,オルフェーヴル,,
12,6,ソードスレイプニル,牝3,53.0,長浜,美浦・鈴木慎,差し,13.3,5,5,3歳以上1勝クラス,35.4,456(-2),新潟,24,中2週,Y,,3,インディチャンプ,クロフネ,,
13,7,ジェイエルキャリア,牡3,56.0,丸山,美浦・松尾,差し,1.9,1,5,3歳以上1勝クラス,36.4,456(0),福島,73,中9週,Y,,3,ミスチヴィアスアレックス,ハービンジャー,,
14,7,エフエイト,牡5,58.0,横山和,美浦・小野,差し,18.8,6,7,3歳以上1勝クラス,36.0,442(0),新潟,30,中3週,Y,,3,ゴールデンバローズ,サンカルロ,,
15,8,シルバードン,牡4,58.0,木幡巧,美浦・牧,差し,8.2,3,2,3歳以上1勝クラス,36.6,484(+2),中山,17,中1週,Y,,3,アルバート,Lantana Mob,,
16,8,ノースブルースカイ,牝3,54.0,佐々木,美浦・堀内,,19.6,7,,,0.0,424(+16),新潟,52,中6週,Y,,3,ダノンレジェンド,ディープインパクト,,
