コーナー,通過順
1コーナー,"(*1,2)13(3,7)-6,14,15(11,4)5-12,8(10,9)"
2コーナー,"1,2-3(13,7)-6(15,4)-14(11,5)(8,12)(10,9)"
3コーナー,"1,2,3(4,7)(6,15)5(11,8)12(10,9)=13-14"
4コーナー,"1(2,3)4,7(15,5)(8,12)(6,11,9)10=14,13"
