馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ランスオブヒーロー,牡3,56.0,松山,栗東・奥村豊,差し,10.3,4,4,3歳以上1勝クラス,34.8,456(-6),阪神,98,中13週,Y,,3,インディチャンプ,ローエングリン,,
2,2,エンジェルボイス,牡3,56.0,武豊,栗東・吉村,差し,50.2,9,9,3歳以上1勝クラス,34.5,480(-2),阪神,14,中1週,Y,,3,キズナ,Galileo,,
3,3,エクリュ,牝3,54.0,松若,栗東・井上,差し,54.4,11,9,3歳以上1勝クラス,34.9,442(+2),中京,56,中7週,Y,,3,レイデオロ,マンハッタンカフェ,,
4,4,レインボーステート,牡3,56.0,,栗東・茶木,差し,33.1,7,1,3歳未勝利,34.3,438(-4),中京,48,中6週,Y,,3,シルバーステート,キンシャサノキセキ,,
5,4,エレガンスアスク,牝3,54.0,岩田望,栗東・田中克,先行,2.6,1,2,3歳以上1勝クラス,34.2,448(0),阪神,20,中2週,Y,,3,ポエティックフレア,ハーツクライ,,
6,5,ウインラウダ,牡5,57.0,田山,栗東・梅田,差し,30.9,6,5,3歳以上1勝クラス,33.5,520(+2),中京,56,中7週,Y,,3,マクフィ,ステイゴールド,,
7,5,シャーリーゴールド,牝5,56.0,,栗東・佐藤悠,差し,46.5,8,2,3歳以上1勝クラス,33.7,478(+10),中京,49,中6週,Y,,3,エピファネイア,ディープインパクト,,
8,6,コレオシークエンス,牡3,56.0,浜中,栗東・佐藤悠,,4.8,3,4,3歳以上1勝クラス,34.1,442(0),阪神,14,中1週,Y,,3,サートゥルナーリア,ディープインパクト,,
9,6,ウォーターエルピス,牝4,56.0,田口,栗東・藤野,追込,164.2,13,12,3歳以上1勝クラス,33.7,506(+4),中京,62,中8週,Y,,2,シャンハイボビー,アグネスタキオン,,B
10,7,ベネサルート,牡3,56.0,小沢,栗東・渡辺,先行,53.2,10,9,3歳以上1勝クラス,34.2,518(0),阪神,20,中2週,Y,,3,リオンディーズ,ダイワメジャー,,B
11,7,ムーンライトラガー,牝4,56.0,池添,栗東・大久保,差し,20.0,5,3,3歳以上1勝クラス,33.9,436(+4),阪神,20,中2週,Y,,3,オルフェーヴル,Include,,
12,8,サトノアグード,牡3,56.0,坂井,栗東・藤原,差し,2.8,2,2,3歳以上1勝クラス,33.9,478(-2),阪神,14,中1週,Y,,3,ロードカナロア,Lord of England,,
13,8,プチプランス,牡4,58.0,吉村,栗東・藤岡健,差し,60.8,12,5,3歳以上1勝クラス,34.3,498(-4),阪神,20,中2週,Y,,3,リアルスティール,Equal Stripes,,
