券種,組み合わせ,配当,人気
単勝,8,380,2
複勝,8,160,2
複勝,1,380,8
複勝,5,140,1
馬連,1-8,3120,16
ワイド,1-8,1040,21
ワイド,5-8,270,1
ワイド,1-5,860,14
馬単,8-1,4940,25
3連複,1-5-8,3930,20
3連単,8-1-5,23910,109
