コーナー,通過順
1コーナー,"6,8(7,9,10)(2,3)(5,4,11)1"
2コーナー,"(*6,8)(7,9,10)(11,4)(2,3)(5,1)"
3コーナー,"4,11(8,9)6,10(2,7)1(3,5)"
4コーナー,"(*4,11)(8,9)(6,10)(2,5,7)1,3"
