コーナー,通過順
1コーナー,"(*11,12)(3,8,15)(6,4,16)-(5,7,17)(1,10)(2,9,13)-14"
2コーナー,"(*11,12)8(3,4,15)6(7,16)(5,17)(1,10)(9,13)2,14"
3コーナー,"11(12,8)(3,4)15(5,6,16)7(1,17)(10,9)-(2,13)-14"
4コーナー,"(*11,12,8)(3,4,15)(5,6,16)(1,7,10)9(2,17)(14,13)"
