券種,組み合わせ,配当,人気
単勝,5,280,1
複勝,5,140,1
複勝,7,210,3
複勝,8,340,7
枠連,4-5,580,1
馬連,5-7,900,2
ワイド,5-7,410,2
ワイド,5-8,790,6
ワイド,7-8,1600,23
馬単,5-7,1340,2
3連複,5-7-8,4080,10
3連単,5-7-8,14280,25
