券種,組み合わせ,配当,人気
単勝,13,230,1
複勝,13,130,1
複勝,17,170,3
複勝,6,230,4
枠連,7-8,400,1
馬連,13-17,580,1
ワイド,13-17,320,2
ワイド,6-13,610,5
ワイド,6-17,870,8
馬単,13-17,1100,1
3連複,6-13-17,2350,3
3連単,13-17-6,7030,7
