馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ニシノリリックス,牝2,55.0,内田博,美浦・小野,差し,48.1,7,1,2歳未勝利,35.7,460(+2),新潟,27,中3週,Y,,2,リーチザクラウン,カジノドライヴ,,
2,2,ジョドレルバンク,牡2,55.0,戸崎圭,美浦・武井,先行,1.6,1,1,2歳新馬,33.7,532(+12),東京,111,中15週,Y,,1,エフフォーリア,マンハッタンカフェ,,
3,3,エイシンウルトラン,牡2,55.0,横山武,地方・村上正,差し,17.4,5,3,,35.1,466(+8),札幌,35,中4週,Y,,1,トランセンド,エイシンワシントン,,
4,4,コスモプルー,牝2,55.0,津村,美浦・黒岩,先行,10.2,4,1,2歳未勝利,34.7,436(+4),中山,21,中2週,Y,,2,ダノンキングリー,New Approach,,
5,5,タイヴァス,牡2,55.0,佐々木,栗東・矢作,先行,26.6,6,1,2歳新馬,34.5,502(+4),新潟,34,中4週,Y,,1,ウィルテイクチャージ,ダンスインザダーク,,
6,6,レオンティウス,牡2,55.0,丸山,美浦・田中勝,差し,5.8,3,1,2歳未勝利,35.3,480(+2),福島,77,中10週,Y,,2,アドマイヤマーズ,Unbridled's Song,,
7,7,モーモーゼロ,牡2,55.0,菊沢,美浦・石栗,差し,209.6,8,7,2歳未勝利,36.4,464(-6),中山,14,中1週,Y,,3,サトノクラウン,クロフネ,,
8,8,スタースポット,牡2,55.0,ルメー,美浦・林,,3.9,2,1,2歳新馬,35.5,508(+8),福島,84,中11週,Y,,1,エフフォーリア,サクラバクシンオー,,
