コーナー,通過順
1م‚3مƒ1⁄4مƒٹمƒ1⁄4,
2م‚3مƒ1⁄4مƒٹمƒ1⁄4,
3م‚3مƒ1⁄4مƒٹمƒ1⁄4,"(*4,14)-11(6,12)(1,5,9)(10,13)-8,2,3,7"
4م‚3مƒ1⁄4مƒٹمƒ1⁄4,"14,4-11(6,12)(5,9)1(10,13)-(8,3)(2,7)"
