コーナー,通過順
1コーナー,"10,8-(5,11)(2,3,7)-(4,9)6,1"
2コーナー,"10,8-(5,11)(2,3,7)(4,9)(1,6)"
3コーナー,"9-10(8,7)(5,11)(2,3)4(1,6)"
4コーナー,"9(10,7)(5,11)(8,4)(2,3)(1,6)"
