コーナー,通過順
1コーナー,"12,13,2,10,1(4,11)(7,6,9)(3,8)5"
2コーナー,"(*12,13)2,10(1,4,11)(7,6,9)(3,8)5"
3コーナー,"(*12,13)-(2,10)8(1,4,11)(7,9,3)6-5"
4コーナー,"(12,*13)(2,10)(1,4)8,7,11(9,3)6,5"
