馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ナムラフッカー,牡3,泉谷,栗東・村山,差し,8.8,4,3,,33.2,470(+4),京都,69,中9週,Y,,3,スワーヴリチャード,ルーラーシップ,
2,2,ヴェンチュラムーン,牡4,三浦,美浦・小島,差し,33.9,6,1,4歳以上1勝クラス,33.8,440(+2),東京,97,中13週,Y,,3,エピファネイア,ディープインパクト,
3,3,マルチャン,牡4,丸田,美浦・武市,差し,34.6,7,4,,33.8,468(+4),東京,56,中7週,Y,,3,ラブリーデイ,スウェプトオーヴァーボード,
4,4,ウインオーディン,牡4,川田,美浦・鹿戸,差し,4.2,3,7,,34.5,484(-4),東京,41,中5週,Y,,3,エピファネイア,フジキセキ,
5,5,タガノカイ,牡6,秋山稔,栗東・宮,,46.6,8,3,,34.9,520(+8),京都,55,中7週,Y,,3,ノヴェリスト,ホワイトマズル,
6,6,ダノンターキッシュ,牡6,松山,栗東・寺島,差し,28.2,5,6,,35.4,454(+2),京都,55,中7週,Y,,3,ルーラーシップ,Sinndar,
7,7,オールセインツ,牡3,坂井,栗東・友道,差し,3.8,2,1,3歳以上1勝クラス,33.1,492(+2),京都,63,中8週,Y,,3,キズナ,ルーラーシップ,
8,8,ニュージーズ,牡3,ルメー,美浦・木村,差し,1.9,1,1,3歳以上1勝クラス,33.8,488(+2),東京,55,中7週,Y,,3,リアルスティール,Gold Away,
