コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"(*11,12,15)(3,6,10)(2,9)(8,16)4(1,14)(5,13)7"
4コーナー,"(11,12,*15)-6,3(2,8)10,9(4,1,16)14,13,5,7"
