馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アルゴナヴィス,牡5,津村,栗東・池江,先行,62.0,9,14,,40.7,492(+4),中京,63,中8週,Y,,3,ドゥラメンテ,Seeking the Gold,,B
2,2,ヘルモーズ,牡5,北村友,栗東・小林,差し,203.6,15,8,,37.4,524(+10),小倉,99,中13週,Y,,3,モーリス,アグネスタキオン,,
3,2,ガンウルフ,牡6,丹内,栗東・藤岡健,先行,65.3,10,10,,36.8,478(-6),阪神,56,中7週,Y,,3,Gun Runner,A.P. Indy,,B
4,3,ジョディーズマロン,牡8,横山典,栗東・北出,追込,50.5,7,6,,35.3,462(-8),阪神,42,中5週,Y,,3,ディスクリートキャット,サムライハート,,
5,3,レッドラパルマ,セ7,ゴンサ,美浦・平岩,差し,178.1,14,8,,38.6,498(+2),中山,56,中7週,Y,,3,イスラボニータ,ストラヴィンスキー,,
6,4,ダノンスウィッチ,牡5,浜中,栗東・東田,先行,61.2,8,13,,37.7,494(0),阪神,56,中7週,Y,,3,American Pharoah,Galileo,,
7,4,アデランテ,セ5,佐々木,美浦・菊川,,15.1,6,1,4歳以上2勝クラス,36.9,510(-6),東京,106,中14週,Y,,3,ミッキーグローリー,タイキシャトル,,
8,5,クァンタムウェーブ,牡4,西村淳,栗東・松永幹,先行,4.6,3,4,,38.0,520(-4),阪神,155,中21週,Y,,2,ナダル,Smoke Glacken,,
9,5,サムシャイン,牡4,横山和,美浦・鈴木慎,先行,9.7,5,1,4歳以上2勝クラス,37.6,484(0),中山,64,中8週,Y,,3,ルヴァンスレーヴ,マンハッタンカフェ,,
10,6,ユキノロイヤル,牡5,石橋脩,美浦・小野,先行,69.2,11,11,,35.6,462(+2),中山,78,中10週,Y,,3,ディーマジェスティ,タイキシャトル,,
11,6,ヴァンドーム,牡5,大野,栗東・安田,追込,5.1,4,5,,36.1,506(0),中山,43,中5週,Y,,3,ロードカナロア,マンハッタンカフェ,,B
12,7,モズマーヴェリック,牡5,舟山,栗東・牧浦,追込,177.0,13,16,,35.0,478(-8),中山,42,中5週,Y,,3,リアルスティール,キングカメハメハ,,
13,7,セギレエルビエント,牝4,荻野極,美浦・伊坂,先行,4.3,2,2,,36.4,474(+2),東京,21,中2週,Y,,3,ナダル,ディープインパクト,,
14,8,メイショウハチロー,牡4,川田,栗東・福永,差し,2.9,1,2,,35.1,510(+10),東京,36,中4週,Y,,3,シニスターミニスター,ダイワメジャー,,
15,8,ホルトバージ,牡5,菅原明,栗東・柴田,差し,72.6,12,8,,36.9,484(+2),阪神,49,中6週,Y,,3,キンシャサノキセキ,Zensational,,
