券種,組み合わせ,配当,人気
単勝,3,500,2
複勝,3,220,3
複勝,9,550,7
複勝,8,1050,12
枠連,3-6,2400,12
馬連,3-9,6240,21
ワイド,3-9,2040,22
ワイド,3-8,4060,43
ワイド,8-9,9000,61
馬単,3-9,9210,30
3連複,3-8-9,61230,141
3連単,3-9-8,221290,565
