コーナー,通過順
1コーナー,
2コーナー,"(4,*6)9,10(5,8,14)2(3,12,16)(13,15)17(7,11)-18,1"
3コーナー,"(*6,4)10,9(5,8,14)2(12,16)(3,15,17)(13,11)-7-18-1"
4コーナー,"(*6,4)10(9,8)5(2,12,14)(3,15,16)17(13,11)7-18=1"
