馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,サンアンドスターズ,牝2,53.0,小林美,美浦・畠山,先行,9.1,5,11,2歳未勝利,38.1,,中山,9,連闘,Y,,2,モーニン,ハービンジャー,,
2,2,マイネルアルディ,牡2,55.0,佐々木,美浦・菊川,追込,40.4,9,13,2歳新馬,34.6,,東京,93,中12週,Y,,1,ブリックスアンドモルタル,ディープインパクト,,
3,3,アニエーネ,牝2,55.0,柴田大,美浦・和田勇,先行,5.4,3,2,2歳未勝利,33.1,,新潟,31,中3週,Y,,2,ベンバトル,ネオユニヴァース,,
4,4,キャピタルストーン,牡2,55.0,大野,美浦・久保田,先行,3.1,1,2,2歳未勝利,35.6,,福島,73,中9週,Y,,2,サートゥルナーリア,ディープインパクト,,
5,5,トーセンシントラ,牡2,55.0,丹内,美浦・中舘,逃げ,11.4,6,6,2歳新馬,34.5,,新潟,31,中3週,Y,,1,ハイランドリール,タイキシャトル,,
6,6,クシェドゥソレイユ,牝2,55.0,横山武,美浦・辻,先行,4.4,2,3,2歳新馬,34.2,,東京,108,中14週,Y,,1,エフフォーリア,Pioneerof the Nile,,
7,7,ドナリー,牝2,53.0,石神道,美浦・林,,5.8,4,2,2歳新馬,35.6,,福島,66,中8週,Y,,1,ルーラーシップ,ディープインパクト,,
8,7,エレスレイプニル,牡2,55.0,木幡巧,美浦・杉浦,差し,26.7,8,7,,34.6,,新潟,30,中3週,Y,,3,ハイランドリール,Flower Alley,,
9,8,コスモバルムンク,牡2,55.0,菊沢,美浦・小手川,差し,13.7,7,6,2歳未勝利,33.5,,新潟,59,中7週,Y,,2,ダノンバラード,レッドスパーダ,,
10,8,キャッチアップ,牝2,55.0,武藤,美浦・小野,追込,57.0,10,11,2歳新馬,35.7,,新潟,23,中2週,Y,,1,ベンバトル,アグネスデジタル,,
