コーナー,通過順
1コーナー,"4,2(9,3)(8,13,5)(14,10)1-7,6(12,11)"
2コーナー,"4,2,9(8,5)(14,3,13)10,1=(7,6)-(12,11)"
3コーナー,"4,9(14,2,10)8,13-(3,1)=7,12-11=65"
4コーナー,"(*4,9)(10,8)(14,2)13-1-3=(7,12)-11=65"
