券種,組み合わせ,配当,人気
単勝,5,600,3
複勝,5,200,3
複勝,6,280,6
複勝,7,150,1
枠連,4-5,780,2
馬連,5-6,4610,19
ワイド,5-6,1480,19
ワイド,5-7,520,2
ワイド,6-7,730,5
馬単,5-6,7980,28
3連複,5-6-7,4170,6
3連単,5-6-7,28610,60
