登録番号,馬名,性齢,斤量,騎手,厩舎,脚質,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
14,アイガーリー,牡3,56.0,菱田,栗東・秋山,先行,1,3歳以上1勝クラス,33.7,,阪神,20,中2週,Y,,3,モズアスコット,ディープインパクト,,
5,アジュマン,牡4,58.0,鮫島駿,栗東・石坂,差し,12,,35.6,,阪神,14,中1週,Y,,3,アルアイン,キングカメハメハ,,
9,ウィルサヴァイブ,牝4,56.0,横山典,栗東・須貝,先行,7,,37.7,,札幌,28,中3週,Y,,3,アルアイン,ハービンジャー,,
16,ヴォーカライズ,牡3,56.0,田山,栗東・高野,先行,1,3歳以上1勝クラス,33.6,,中京,28,中3週,Y,,3,ブリックスアンドモルタル,My Golden Song,,B
3,オーシャントライブ,セ6,58.0,小沢,栗東・高柳大,差し,12,,36.8,,札幌,49,中6週,Y,,3,ルーラーシップ,フジキセキ,,
7,ショウナンバルドル,セ4,58.0,岩田望,栗東・須貝,差し,3,,33.7,,阪神,20,中2週,Y,,3,ブリックスアンドモルタル,ディープインパクト,,
8,ジーティーマン,牡4,58.0,西村淳,栗東・小栗,差し,2,,33.1,,中京,34,中4週,Y,,3,モーリス,ディープインパクト,,
15,シーミハットク,牡3,56.0,高杉,栗東・寺島,先行,9,,36.1,,阪神,13,中1週,Y,,3,オルフェーヴル,ファルブラヴ,,
1,ストップザタイム,セ7,58.0,,栗東・緒方,,2,,34.0,,阪神,20,中2週,Y,,3,ダイワメジャー,Raven's Pass,,
13,ストームサンダー,牡3,56.0,斎藤,栗東・安達,差し,6,,35.7,,札幌,34,中4週,Y,,3,ヘンリーバローズ,キングカメハメハ,,
6,スナークピカソ,牡4,58.0,吉村,栗東・高橋一,差し,7,,35.2,,中山,13,中1週,Y,,3,アジアエクスプレス,ディープインパクト,,
4,ツーネサーン,牡5,58.0,富田,栗東・矢作,先行,4,,34.9,,阪神,20,中2週,Y,,3,Frankel,Fast Company,,
10,テーオーシュタイン,牡4,58.0,藤懸,栗東・梅田,差し,3,,33.1,,中京,34,中4週,Y,,3,ワールドエース,Giant's Causeway,,
11,フェイトライン,牡4,58.0,坂井,栗東・斉藤崇,差し,1,アンタレス,35.0,,盛岡,60,中8週,,,2,サトノアラジン,サクラバクシンオー,,B
