券種,組み合わせ,配当,人気
単勝,7,220,1
複勝,7,130,1
複勝,15,230,3
複勝,6,260,4
枠連,4-8,1140,3
馬連,7-15,970,2
ワイド,7-15,450,2
ワイド,6-7,470,3
ワイド,6-15,1180,12
馬単,7-15,1420,3
3連複,6-7-15,2630,5
3連単,7-15-6,7700,12
