コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"10-4(2,11)(6,9,14)13(8,15)5(3,7)16,1,12"
4コーナー,"10-(4,11)(2,14)(6,13)(9,8,5)3,7(1,16,15)12"
