コーナー,通過順
1コーナー,
2コーナー,"8(3,14)(5,18)(2,6,9)(13,15)(1,4,7)10,12(11,16)17"
3コーナー,"8-(3,14)(2,5,18)(9,15)(1,6,13,12)(4,10)7-11,16-17"
4コーナー,"8-(3,14)18(2,5,15)(6,9,13,12)1(4,10)(7,16)11-17"
