券種,組み合わせ,配当,人気
単勝,13,750,4
複勝,13,230,4
複勝,16,160,1
複勝,7,470,8
枠連,7-8,790,3
馬連,13-16,1500,4
ワイド,13-16,550,4
ワイド,7-13,2010,26
ワイド,7-16,1430,18
馬単,13-16,3720,12
3連複,7-13-16,10140,34
3連単,13-16-7,55310,181
