券種,組み合わせ,配当,人気
単勝,4,310,2
複勝,4,120,3
複勝,9,270,4
複勝,6,110,1
枠連,3-5,2410,6
馬連,4-9,3150,6
ワイド,4-9,850,9
ワイド,4-6,200,1
ワイド,6-9,600,4
馬単,4-9,4140,8
3連複,4-6-9,1450,2
3連単,4-9-6,11260,28
