券種,組み合わせ,配当,人気
単勝,4,250,1
複勝,4,140,1
複勝,15,400,7
複勝,5,300,5
枠連,2-8,2680,11
馬連,4-15,2890,10
ワイド,4-15,1210,13
ワイド,4-5,620,6
ワイド,5-15,1860,21
馬単,4-15,4530,15
3連複,4-5-15,7420,21
3連単,4-15-5,30360,75
