券種,組み合わせ,配当,人気
単勝,15,1560,6
複勝,15,290,6
複勝,14,520,7
複勝,2,260,5
枠連,7-8,1800,7
馬連,14-15,13210,39
ワイド,14-15,3390,36
ワイド,2-15,1960,22
ワイド,2-14,2860,31
馬単,15-14,25090,78
3連複,2-14-15,37820,107
3連単,15-14-2,273280,719
