着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,クイックバイオ,牝2,55.0,川田,1:21.5,,2,3.5,34.4,栗東須貝,480(-8)
2,5,5,セントメモリーズ,牝2,55.0,石川,1:21.6,1/2,3,5.2,34.1,美浦斎藤誠,474(+4)
3,6,6,シークレットキー,牡2,55.0,ルメー,1:21.8,1.1/4,4,7.3,34.9,栗東杉山晴,490(-4)
4,3,3,ジューンテイク,牡2,55.0,岩田望,1:21.9,3/4,5,8.9,34.6,栗東武英,476(-4)
5,2,2,レディーエンジェル,牝2,55.0,菱田,1:22.1,1.1/4,6,22.1,35.5,栗東岡田,474(-2)
6,1,1,ステラスプレンダー,牝2,55.0,松山,1:23.1,6,1,2.3,35.8,栗東石坂,434(+8)
