券種,組み合わせ,配当,人気
単勝,2,1030,6
複勝,2,380,6
複勝,5,420,8
複勝,11,440,9
枠連,2-4,3350,17
馬連,2-5,8500,33
ワイド,2-5,2700,36
ワイド,2-11,1600,21
ワイド,5-11,2740,37
馬単,2-5,13160,53
3連複,2-5-11,28060,93
3連単,2-5-11,131570,441
