券種,組み合わせ,配当,人気
単勝,2,2040,8
複勝,2,520,9
複勝,11,150,1
複勝,12,310,5
枠連,2-8,3060,13
馬連,2-11,3990,15
ワイド,2-11,1280,14
ワイド,2-12,3870,43
ワイド,11-12,550,3
馬単,2-11,9400,37
3連複,2-11-12,10420,40
3連単,2-11-12,83460,301
