コーナー,通過順
1コーナー,"(*3,9)-13,4,14,5(1,7)6,8-(12,11)-102"
2コーナー,"(*3,9)-(4,13)14,5,7(1,6)8-(12,11)-102"
3コーナー,"(*3,9)-13(4,14)(5,6,7)(1,8)11,12-102"
4コーナー,"(3,*9)13(4,14)(5,6,8)(1,11,7)12-102"
