馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アスクデッドヒート,牡4,古川奈,栗東・矢作,差し,25.0,5,5,,34.2,474(-6),京都,14,中1週,Y,,3,ルーラーシップ,ディープインパクト,,
2,2,ティムール,牡6,三浦,栗東・中竹,差し,28.8,6,5,4歳以上2勝クラス,34.2,484(+2),東京,29,中3週,Y,,3,キズナ,Tapit,,
3,3,バンフィエルド,牡7,柴田大,美浦・粕谷,先行,323.4,14,9,,34.5,436(+2),新潟,14,中1週,Y,,3,オルフェーヴル,Candy Ride,,
4,3,ジオセントリック,牡5,レーン,美浦・手塚久,先行,2.7,2,3,4歳以上2勝クラス,35.3,494(-2),中山,64,中8週,Y,,3,ハービンジャー,ゼンノロブロイ,,
5,4,ダノンカゼルタ,セ4,西村淳,栗東・寺島,差し,52.0,9,5,,34.7,478(-14),京都,22,中2週,Y,,3,サートゥルナーリア,ハービンジャー,,
6,4,ノラリクラリ,牡4,松山,栗東・藤岡健,差し,5.7,3,2,4歳以上2勝クラス,34.0,454(+6),東京,29,中3週,Y,,3,シュヴァルグラン,ディープインパクト,,
7,5,アバンデル,牡5,佐々木,美浦・金成,差し,36.4,7,5,,34.3,452(+6),東京,364,中51週,Y,Y,3,ワールドエース,ハービンジャー,,
8,5,スピンザブラッド,牡5,戸崎圭,美浦・大竹,差し,56.9,10,1,,35.2,438(+6),新潟,22,中2週,Y,,3,ブリックスアンドモルタル,サンデーサイレンス,,
9,6,ビップチェイス,牡5,杉原,美浦・田島,,249.9,13,7,,36.8,462(+8),京都,14,中1週,Y,,3,アルアイン,ナリタトップロード,,B
10,6,プリズマジコ,牡5,横山琉,栗東・高橋忠,差し,98.9,12,13,,37.3,454(+4),小倉,92,中12週,Y,,3,キズナ,グランデラ,,
11,7,アロンズロッド,牡4,ルメー,美浦・宮田,差し,2.4,1,2,,33.5,490(+6),阪神,50,中6週,Y,,3,エピファネイア,ロードカナロア,,
12,7,オールマイデイズ,牡6,荻野極,美浦・矢嶋,差し,48.1,8,5,,37.7,498(0),中山,85,中11週,Y,,3,リアルスティール,シンボリクリスエス,,
13,8,サトノパトリオット,セ4,川田,美浦・木村,差し,8.5,4,1,3歳以上1勝クラス,34.0,484(-6),東京,183,中25週,Y,Y,3,レイデオロ,Street Cry,,
14,8,ショウナンガチ,牡5,ゴンサ,栗東・須貝,差し,92.3,11,3,,35.0,498(0),小倉,127,中17週,Y,,3,ドゥラメンテ,Going Commando,,B
