馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,プルーヴンウィナー,牝5,56.0,佐々木,美浦・林,差し,19.8,10,8,3歳以上1勝クラス,36.9,,東京,108,中14週,Y,,3,キズナ,Pollard's Vision,,
2,1,リリエンフェルト,牝5,56.0,原田和,美浦・上原博,差し,26.4,12,11,,37.1,,福島,66,中8週,Y,,3,ルーラーシップ,ダイワメジャー,,B
3,2,コウセイケンタロス,セ4,58.0,柴田大,美浦・和田雄,追込,103.3,15,13,3歳以上1勝クラス,38.6,,新潟,24,中2週,Y,,3,ハービンジャー,ディープインパクト,,B
4,2,ラルガメンテ,牝4,56.0,,美浦・尾関,先行,19.1,9,10,3歳以上1勝クラス,38.0,,東京,93,中12週,Y,,3,ドゥラメンテ,スウェプトオーヴァーボード,,
5,3,メアヴィア,牝5,54.0,,美浦・金成,先行,7.9,4,9,,36.7,,福島,80,中10週,Y,,3,ミッキーロケット,ディープブリランテ,,
6,3,リュウジンマル,牡4,58.0,横山和,美浦・村田,差し,20.3,11,,,0.0,,中山,191,中26週,Y,Y,1,アジアエクスプレス,スマートファルコン,,
7,4,マーゴットソラーレ,セ5,58.0,斎藤,美浦・伊坂,,6.5,2,6,,35.1,,中山,17,中1週,Y,,3,ノヴェリスト,アグネスタキオン,,
8,4,ウイントリベルガ,牡3,52.0,遠藤,美浦・深山,追込,27.0,13,17,3歳未勝利,34.8,,中京,31,中3週,Y,,1,スワーヴリチャード,ジャングルポケット,,
9,5,ピースヒロフェイス,牝5,56.0,石橋脩,美浦・牧,差し,18.9,8,8,3歳以上1勝クラス,34.6,,阪神,17,中1週,Y,,3,サトノダイヤモンド,フレンチデピュティ,,B
10,5,フォーグッド,セ7,58.0,,美浦・平岩,追込,31.7,14,12,3歳以上1勝クラス,36.1,,新潟,24,中2週,Y,,3,ディープインパクト,Congrats,,B
11,6,テイキットイージー,牡5,58.0,丹内,美浦・萱野,差し,6.7,3,5,3歳以上1勝クラス,36.1,,新潟,24,中2週,Y,,3,ゴールドシップ,ルールオブロー,,B
12,6,イモータリス,牡3,55.0,嶋田,美浦・手塚久,差し,4.0,1,4,3歳以上1勝クラス,34.7,,新潟,30,中3週,Y,,3,ミッキーロケット,スペシャルウィーク,,
13,7,ブリックアブラック,牡3,52.0,佐藤,美浦・高木,追込,14.8,7,6,3歳未勝利,36.6,,中山,16,中1週,Y,,3,ブリックスアンドモルタル,ブラックタイド,,
14,7,マルカベント,牡4,58.0,小林脩,美浦・浅利,先行,109.6,16,11,,38.6,,新潟,24,中2週,Y,,1,ドレフォン,ディープインパクト,,B
15,8,サフランルージュ,牝3,53.0,木幡巧,美浦・室井,差し,12.3,6,5,,34.5,,新潟,52,中6週,Y,,3,ワールドプレミア,グラスワンダー,,
16,8,ベルウッドクレド,牡3,55.0,大野,美浦・辻,先行,10.3,5,6,,34.9,,新潟,52,中6週,Y,,3,シルバーステート,Candy Ride,,
