券種,組み合わせ,配当,人気
単勝,9,780,4
複勝,9,230,4
複勝,8,210,3
複勝,5,380,5
枠連,7-7,2010,5
馬連,8-9,1920,7
ワイド,8-9,680,8
ワイド,5-9,950,12
ワイド,5-8,890,11
馬単,9-8,4400,15
3連複,5-8-9,5120,15
3連単,9-8-5,29610,88
