馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,スイートオレンジ,牝4,56.0,西村淳,美浦・中川,先行,12.1,5,5,,34.4,,中京,28,中3週,Y,,3,ゴールドシップ,コンデュイット,,
2,1,プリズマジコ,牡5,58.0,,栗東・高橋忠,差し,29.2,11,,,0.0,,新潟,43,中5週,Y,,3,キズナ,グランデラ,,
3,2,フナデ,牡5,58.0,木幡巧,美浦・嘉藤,追込,44.4,15,10,,35.8,,札幌,21,中2週,Y,,3,ゴールドシップ,ディープインパクト,,
4,2,コスモイシュタル,牝4,56.0,松岡,美浦・深山,先行,8.0,4,3,,35.3,,福島,70,中9週,Y,,3,ゴールドシップ,アドマイヤマックス,,
5,3,ハニードレス,牝4,56.0,松山,美浦・牧,差し,20.8,10,3,,36.8,,札幌,29,中3週,Y,,3,ブリックスアンドモルタル,Doyen,,
6,3,ミツカネベネラ,牝3,53.0,野中,美浦・鈴木伸,差し,16.0,7,16,,33.9,,東京,126,中17週,Y,,3,モーリス,ダイワメジャー,,
7,4,ドナルンバ,牝3,53.0,荻野極,美浦・上原佑,先行,4.9,1,1,3歳以上1勝クラス,34.6,,福島,78,中10週,Y,,3,サトノアラジン,ルーラーシップ,,
8,4,ベネスピラ,牡4,58.0,小林美,美浦・鹿戸,,12.6,6,12,,37.4,,札幌,35,中4週,Y,,3,レイデオロ,ディープインパクト,,
9,5,ルージュボヤージュ,牝3,53.0,杉原,美浦・木村,,5.5,2,10,,35.0,,福島,91,中12週,Y,,3,コントレイル,Orpen,,
10,5,サンライズバブル,牡4,58.0,田辺,栗東・前川,差し,6.1,3,4,,34.3,,阪神,14,中1週,Y,,3,ゴールドシップ,バゴ,,B
11,6,アイキャンドウイッ,牡7,58.0,ミシェ,栗東・池江,差し,31.9,13,8,,33.9,,中京,35,中4週,Y,,3,ディープインパクト,Shamardal,,
12,6,ダノンカゼルタ,セ4,58.0,岩田望,栗東・寺島,先行,16.1,8,6,,35.0,,阪神,21,中2週,Y,,3,サートゥルナーリア,ハービンジャー,,
13,7,ジェットブレード,牡4,58.0,菊沢,美浦・青木,先行,20.7,9,4,,34.3,,中京,28,中3週,Y,,3,ビーチパトロール,ハーツクライ,,
14,7,レイヤードレッド,牡4,58.0,嶋田,美浦・手塚久,差し,33.6,14,6,,36.6,,中山,8,連闘,Y,,3,フィエールマン,スニッツェル,,
15,7,マイネルバーテクス,牡5,58.0,丹内,美浦・水野,差し,30.9,12,11,,38.2,,札幌,29,中3週,Y,,3,エピファネイア,ステイゴールド,,
16,8,トレミニョン,牝5,56.0,岩田康,美浦・和田勇,先行,65.9,17,9,,35.8,,函館,70,中9週,Y,,3,リアルインパクト,Anabaa Blue,,
17,8,マテンロウギフト,牡4,58.0,戸崎圭,栗東・茶木,差し,46.6,16,,,,,京都,126,中17週,Y,,3,サートゥルナーリア,ディープインパクト,,
18,8,ジャンビ,牝5,56.0,石橋脩,美浦・勢司,追込,78.1,18,11,,34.6,,新潟,29,中3週,Y,,3,スクリーンヒーロー,クロフネ,,
