券種,組み合わせ,配当,人気
単勝,12,360,2
複勝,12,160,3
複勝,5,150,2
複勝,2,200,4
枠連,3-7,560,2
馬連,5-12,500,1
ワイド,5-12,300,1
ワイド,2-12,640,8
ワイド,2-5,560,6
馬単,12-5,980,1
3連複,2-5-12,2070,3
3連単,12-5-2,9270,18
