券種,組み合わせ,配当,人気
単勝,5,490,2
複勝,5,130,2
複勝,14,140,3
複勝,3,110,1
枠連,4-8,990,5
馬連,5-14,860,3
ワイド,5-14,300,3
ワイド,3-5,240,1
ワイド,3-14,290,2
馬単,5-14,1960,7
3連複,3-5-14,990,1
3連単,5-14-3,6540,9
