コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"1,14(2,3)(4,5)(6,12)(9,15)16,11,10-(8,13)-7"
4コーナー,"1,14(2,3,5)4(6,12)(11,9)(16,10)15(8,13)-7"
