馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ジーククローネ,セ5,草野,美浦・宮田,差し,22.0,7,5,,13.5,450(+2),阪神,49,中6週,Y,,3,サトノクラウン,サンデーサイレンス,,
2,2,レッドバロッサ,セ6,小牧加,栗東・佐藤悠,先行,3.8,2,2,,14.1,516(+6),京都,175,中24週,Y,,3,ドレフォン,ディープインパクト,,
3,3,ローディアマント,セ5,,美浦・尾関,,17.8,6,4,,13.0,484(0),新潟,84,中11週,Y,,3,サトノダイヤモンド,New Approach,,
4,4,マテンロウジョイ,牡5,西谷誠,栗東・四位,,14.8,5,6,,13.6,468(-2),阪神,49,中6週,Y,,3,ハービンジャー,サンデーサイレンス,,
5,5,クラップサンダー,牡6,黒岩,栗東・牧田,差し,116.1,9,5,,13.8,462(0),中山,56,中7週,Y,,3,ジャスタウェイ,キングカメハメハ,,
6,6,フェーレンベルク,牡5,上野,美浦・千葉,先行,11.2,4,1,,13.8,476(-6),中山,56,中7週,Y,,3,エイシンフラッシュ,マツリダゴッホ,,
7,7,ナリノモンターニュ,牡8,五十嵐,美浦・上原博,差し,7.7,3,3,,13.5,512(+6),阪神,49,中6週,Y,,3,ヴィクトワールピサ,エルコンドルパサー,,
8,7,トーアモルペウス,セ5,石神深,美浦・辻,,169.6,10,5,,13.4,482(-8),中京,105,中14週,Y,,3,タリスマニック,クロフネ,,B
9,8,ディナースタ,牡6,高田,栗東・辻野,先行,1.7,1,1,,13.6,474(-8),京都,28,中3週,Y,,3,ドゥラメンテ,Unbridled's Song,,
10,8,メイショウアツイタ,牡7,難波,栗東・高橋忠,差し,89.1,8,4,,13.8,508(-2),中山,56,中7週,Y,,3,フェノーメノ,Deputy Minister,,
