コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"8(9,10,16)3(5,14)(4,6,11)15,2,7(12,13,1)"
4コーナー,"8(3,9,10)(5,16)(6,14)4(2,11,15)7,1(12,13)"
