券種,組み合わせ,配当,人気
単勝,3,280,2
複勝,3,110,2
複勝,2,110,1
複勝,9,150,4
枠連,2-3,350,1
馬連,2-3,330,1
ワイド,2-3,160,1
ワイド,3-9,320,5
ワイド,2-9,310,4
馬単,3-2,640,2
3連複,2-3-9,650,2
3連単,3-2-9,2750,5
