券種,組み合わせ,配当,人気
単勝,9,290,1
複勝,9,160,1
複勝,2,150,2
複勝,4,900,8
枠連,2-8,360,1
馬連,2-9,450,1
ワイド,2-9,250,1
ワイド,4-9,2720,26
ワイド,2-4,2590,24
馬単,9-2,880,2
3連複,2-4-9,5370,21
3連単,9-2-4,18800,80
