コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"4,5(14,16)1(7,10)(2,12)6,13,3(8,11)-15,9"
4コーナー,"(*4,5)(1,14,16)-(2,10)(7,6,12)(3,8,13)-(15,11)9"
