券種,組み合わせ,配当,人気
単勝,7,760,5
複勝,7,290,5
複勝,3,540,9
複勝,8,260,4
枠連,3-5,3630,14
馬連,3-7,5410,27
ワイド,3-7,1730,25
ワイド,7-8,1600,24
ワイド,3-8,2200,28
馬単,7-3,11280,47
3連複,3-7-8,19430,71
3連単,7-3-8,150720,497
