コーナー,通過順
1コーナー,"(*12,13)15-(1,10)14(2,6,9,16)(5,11)-(7,8)-4,3"
2コーナー,"12(13,15)(1,10,14)(2,6,16)9(5,11)8(7,4)-3"
3コーナー,"12(13,15)(1,10,14,4)2(9,16)(7,5,8)(11,3)=6"
4コーナー,"(*12,13,15)(1,10,14)(7,2)(4,3)(5,9)(11,8)166"
