馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アルビオンライズ,牡2,55.0,ミシェ,美浦・和田郎,,2.2,1,2,2歳新馬,38.9,488(+2),中山,21,中2週,Y,,1,ミッキーアイル,Lord of England,,
2,2,トパーズヘッド,牡2,55.0,菅原隆,美浦・佐藤吉,差し,271.8,12,11,2歳新馬,38.3,484(0),中山,14,中1週,Y,,1,クリソベリル,Giant's Causeway,,
3,3,アンミツ,牝2,53.0,小林美,栗東・杉山佳,先行,5.7,4,10,2歳新馬,37.6,426(-12),札幌,21,中2週,Y,,1,タリスマニック,サウスヴィグラス,,B
4,4,リコルディオーロ,牡2,52.0,佐藤,美浦・伊藤圭,差し,5.6,3,7,2歳未勝利,37.3,440(-4),新潟,41,中5週,Y,,2,ゴールドドリーム,タイキシャトル,,B
5,4,コウソクレムリア,牝2,55.0,,美浦・武藤,差し,32.3,8,6,2歳未勝利,35.1,450(+8),新潟,49,中6週,Y,,2,ジャンダルム,Catcher In The Rye,,
6,5,クリアマインド,牝2,55.0,,美浦・高柳瑞,追込,171.8,10,12,2歳新馬,37.9,458(-4),中山,14,中1週,Y,,1,ディーマジェスティ,ファスリエフ,,B
7,5,ヴァンデエス,牝2,55.0,杉原,美浦・中舘,差し,364.6,13,12,2歳未勝利,39.4,440(0),中山,13,中1週,Y,,2,ミッキーアイル,Dubawi,,
8,6,スヴァラ,牝2,55.0,原田和,美浦・栗田,追込,200.5,11,15,2歳新馬,34.5,444(-8),中山,7,連闘,Y,,1,マテラスカイ,ディープブリランテ,,
9,6,アイビーカイロス,牝2,55.0,木幡巧,美浦・牧,差し,9.2,5,5,2歳新馬,38.7,460(+2),新潟,49,中6週,Y,,1,Maximus Mischief,Munnings,,
10,7,ハイトラクション,牡2,54.0,長浜,美浦・中舘,先行,23.0,7,9,2歳未勝利,41.8,474(-2),中山,14,中1週,Y,,2,フォーウィールドライブ,ディープインパクト,,
11,7,ハクタカ,牡2,55.0,内田博,美浦・和田雄,差し,134.9,9,16,2歳新馬,40.8,458(+8),福島,76,中10週,Y,,1,イスラボニータ,クロフネ,,
12,8,アーバーバイティ,牡2,55.0,嶋田,美浦・武市,先行,4.7,2,3,2歳新馬,37.4,458(0),中山,14,中1週,Y,,1,フォーウィールドライブ,ディスクリートキャット,,
13,8,ファイアリーボルト,牡2,55.0,菊沢,美浦・石栗,差し,21.5,6,9,2歳新馬,36.8,438(+2),中山,14,中1週,Y,,1,ディスクリートキャット,パイロ,,
