馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ブラックルビー,牝4,津村,美浦・田中博,先行,10.5,5,6,,34.8,440(+6),中山,62,中8週,Y,,3,キズナ,シンボリクリスエス,,
2,2,ジャンビ,牝5,菊沢,美浦・勢司,先行,62.9,9,8,,36.4,466(-2),東京,104,中14週,Y,,3,スクリーンヒーロー,クロフネ,,
3,3,ノビリシマビジョン,牝4,戸崎圭,美浦・青木,先行,4.4,3,7,,36.5,500(+6),中山,83,中11週,Y,,3,フィエールマン,Kingmambo,,
5,5,ゴーソーファー,牝4,丹内,美浦・手塚久,差し,31.1,7,9,,37.4,480(+6),中山,13,中1週,Y,,3,キズナ,Ghostzapper,,B
6,6,ホウオウシンデレラ,牝5,丸田,美浦・奥村武,差し,44.2,8,5,,34.5,474(-2),中山,62,中8週,Y,,3,エピファネイア,Gilded Time,,
7,6,ヴォワラクテ,牝4,荻野極,栗東・田中克,差し,72.5,10,5,,36.2,436(+2),小倉,27,中3週,Y,,3,キンシャサノキセキ,Malibu Moon,,B
8,7,キューティリップ,牝4,武藤,美浦・戸田,差し,16.6,6,12,4歳以上1勝クラス,34.5,450(-2),東京,28,中3週,Y,,3,リアルスティール,Mamool,,
9,7,テンミラクルスター,牝4,ルメー,美浦・辻,差し,2.3,1,1,3歳以上1勝クラス,34.4,456(+6),中京,90,中12週,Y,,3,エピファネイア,ディープブリランテ,,
10,8,ロートホルン,牝4,三浦,美浦・加藤征,先行,9.4,4,16,,35.0,476(+4),福島,110,中15週,Y,,3,サトノダイヤモンド,Tapit,,
11,8,ヨヒーン,牝4,横山武,栗東・杉山晴,差し,3.9,2,5,4歳以上2勝クラス,35.5,462(-8),京都,48,中6週,Y,,3,キズナ,Tiz Wonderful,,B
