券種,組み合わせ,配当,人気
単勝,10,380,2
複勝,10,160,2
複勝,14,140,1
複勝,15,330,6
枠連,5-7,570,1
馬連,10-14,820,1
ワイド,10-14,360,1
ワイド,10-15,1150,12
ワイド,14-15,860,10
馬単,10-14,1460,1
3連複,10-14-15,2900,6
3連単,10-14-15,11080,16
